date,city,variant,rna,rna_norm,flow,proportion,rna_norm_smooth,new_cases,cases_smooth
2021-07-15,Zürich (ZH),B.1.617.2 (Delta),305775459338.72064,7.267463327108447,478293.1424166668,0.986181816655422,27.926360212072534,14.65403056687898,8.549303620429752
2021-07-16,Zürich (ZH),B.1.617.2 (Delta),390425823447.93866,9.279375656896308,440530.2714833336,0.9857358536318324,29.990979845815115,14.718929970276008,8.896264618702768
2021-07-17,Zürich (ZH),B.1.617.2 (Delta),1057222836051.023,25.1273539289209,454954.37245,0.9848102529626064,32.02281815339936,8.653495135881103,9.116158692799388
2021-07-18,Zürich (ZH),B.1.617.2 (Delta),1223733461996.777,29.084865333700282,462951.3148499996,0.983141105901759,34.99577921898692,4.502114089171974,9.27727796037086
2021-07-19,Zürich (ZH),B.1.617.2 (Delta),1751879209520.3274,41.63747455811764,483579.5424500002,0.9804566592085118,37.43115310805017,10.427506611464969,9.268821441662153
2021-07-20,Zürich (ZH),B.1.617.2 (Delta),2550023654125.0405,60.60722933649128,440523.812933334,0.9769788880535468,39.69654536993201,13.468188358811041,9.10565284930871
2021-07-21,Zürich (ZH),B.1.617.2 (Delta),2612381749711,62.08931417678342,433061.9653166664,0.9734967555589684,42.66706487207559,8.767340520169851,8.957181611189748
2021-07-22,Zürich (ZH),B.1.617.2 (Delta),2503982141613.76,59.512945954744545,307583.11880000023,0.9710790220808354,44.77944295322096,6.537098097664543,8.806173702249641
2021-07-23,Zürich (ZH),B.1.617.2 (Delta),2541953826030.9204,60.415431146221465,255255.55373333293,0.9702107206384968,46.119490630281014,11.267798127388536,8.635395097432758
2021-07-24,Zürich (ZH),B.1.617.2 (Delta),2938394113248.706,69.83775449085607,298509.73756666685,0.9704366301485378,47.1149999268955,5.846698791932059,8.440701269789578
2021-07-25,Zürich (ZH),B.1.617.2 (Delta),1273584263877.1995,30.269685316560956,424857.0310499997,0.9710696946060224,47.07715605391153,4.91084549044586,8.239919231633873
2021-07-26,Zürich (ZH),B.1.617.2 (Delta),1767102860845.3623,41.99929995754192,332711.0163333336,0.971848148183441,46.01509373222222,8.33881934819533,8.048772266804937
2021-07-27,Zürich (ZH),B.1.617.2 (Delta),2040574564889.086,48.49898958089406,273369.6972833333,0.9727640278502772,44.68670334114616,8.935749874734606,7.882983659142073
2021-07-28,Zürich (ZH),B.1.617.2 (Delta),2211007742283.2363,52.549729522919584,312722.09936666646,0.973634513612085,42.62601916604535,7.198368399150744,7.769776576533147
2021-07-29,Zürich (ZH),B.1.617.2 (Delta),1073970869018.7972,25.52540979533258,231140.57506666635,0.9739538451461882,40.32236154915128,11.986077394904457,7.71312579539918
2021-07-30,Zürich (ZH),B.1.617.2 (Delta),2969848683541.1865,70.58534534253829,259148.5464833333,0.9734801022767066,38.14528709878588,8.464328403397028,7.6938820123791984
2021-07-31,Zürich (ZH),B.1.617.2 (Delta),860120279806.8398,20.442754313628818,284891.4770999997,0.9725135656425332,36.345977884277126,3.9293418259023354,7.692895924112231
2021-08-01,Zürich (ZH),B.1.617.2 (Delta),923680610222.1907,21.95341305436434,478095.0784499997,0.9716689222549412,35.300408968167766,6.075329592356688,7.736235652482559
2021-08-02,Zürich (ZH),B.1.617.2 (Delta),845438793897.3953,20.09381473337246,354437.9519500003,0.9716385580027612,34.550158524777686,8.092477713375796,7.8625881075363955
2021-08-03,Zürich (ZH),B.1.617.2 (Delta),1386836204850.6233,32.96138048898641,324059.82775000023,0.9728940177513417,34.31513834832047,6.562210647558388,8.07173216815567
2021-08-04,Zürich (ZH),B.1.617.2 (Delta),1379740207540.8132,32.792727647029004,376388.6348499996,0.975318265989778,34.970980707546545,5.9596946985138,8.363446713222299
2021-08-05,Zürich (ZH),B.1.617.2 (Delta),790426550036.9841,18.786321105001814,325663.4765499996,0.9782716651594549,36.29284448858107,9.685068144373673,8.777568579280901
2021-08-06,Zürich (ZH),B.1.617.2 (Delta),1363177476723.9421,32.39907591621747,284068.2437333336,0.9810399804236056,37.92261490936388,10.286819651804672,9.341188298316428
